transaction_id,date,time,product_id,product_name,category,quantity_sold,unit_price,unit_type,current_stock,reorder_point,is_payday_period,promo_flag,remarks
TXN-00001,7/1/2025,9:45,P010,Century Tuna 180g,"Noodles, Pasta & Canned Goods",6,43,Can,254,30,0,0,Regular sale
TXN-00002,7/1/2025,9:50,P031,White Sugar 1/2 Kilo,Rice & Staples,1,38,Pack,319,35,0,0,Regular sale
TXN-00003,7/1/2025,10:00,P037,Egg Medium,"Eggs, Chilled & Frozen Items",18,9,Piece,762,90,0,0,Regular sale
TXN-00004,7/1/2025,10:10,P040,Ariel Detergent Sachet,Laundry & Cleaning,9,8,Sachet,491,55,0,0,Regular sale
TXN-00005,7/1/2025,10:20,P005,Great Taste White Sachet,Coffee & Breakfast Items,7,12,Sachet,453,50,0,0,Regular sale
TXN-00006,7/1/2025,10:20,P030,Brown Sugar 1/2 Kilo,Rice & Staples,4,36,Pack,306,35,0,0,Regular sale
TXN-00007,7/1/2025,10:20,P041,Surf Detergent Sachet,Laundry & Cleaning,3,7,Sachet,497,55,0,0,Regular sale
TXN-00008,7/1/2025,10:40,P021,Rebisco Crackers,"Snacks, Biscuits & Sweets",4,8,Pack,326,35,0,0,Regular sale
TXN-00009,7/1/2025,10:50,P046,Palmolive Shampoo Sachet,Personal Care,3,7,Sachet,357,40,0,0,Regular sale
TXN-00010,7/1/2025,11:00,P047,Mobile Load 50,Mobile Load & Digital Services,6,50,Load,999,120,0,0,Regular sale
TXN-00011,7/1/2025,11:30,P009,Mega Sardines 155g,"Noodles, Pasta & Canned Goods",7,23,Can,353,45,0,0,Regular sale
TXN-00012,7/1/2025,11:45,P004,Bear Brand Powdered Milk,Coffee & Breakfast Items,5,13,Sachet,355,40,0,0,Regular sale
TXN-00013,7/1/2025,13:00,P022,Mineral Water 500ml,Drinks & Powdered Beverages,7,12,Bottle,753,80,0,0,Regular sale
TXN-00014,7/1/2025,13:15,P049,Face Mask 5pcs,Personal Care,1,20,Pack,189,20,0,0,Regular sale
TXN-00015,7/1/2025,13:30,P007,Lucky Me Pancit Canton,"Noodles, Pasta & Canned Goods",6,17,Pack,614,75,0,0,Regular sale
TXN-00016,7/1/2025,13:40,P042,Joy Dishwashing Sachet,Laundry & Cleaning,6,8,Sachet,374,40,0,0,Regular sale
TXN-00017,7/1/2025,15:05,P006,Energen Vanilla Sachet,Coffee & Breakfast Items,4,10,Sachet,316,35,0,0,Regular sale
TXN-00018,7/1/2025,15:15,P020,Chippy BBQ 27g,"Snacks, Biscuits & Sweets",5,8,Pack,405,45,0,0,Regular sale
TXN-00019,7/1/2025,16:00,P018,Fudgee Barr Chocolate,"Snacks, Biscuits & Sweets",2,10,Piece,388,45,0,0,Regular sale
TXN-00020,7/1/2025,16:05,P044,Safeguard Soap 60g,Personal Care,7,28,Piece,313,35,0,0,Regular sale
TXN-00021,7/1/2025,16:20,P016,Cloud 9 Classic,"Snacks, Biscuits & Sweets",3,10,Piece,427,50,0,0,Regular sale
TXN-00022,7/1/2025,16:45,P048,GCash Cash-In Service,Mobile Load & Digital Services,2,10,Service,998,120,0,0,Regular sale
TXN-00023,7/1/2025,17:10,P035,Magic Sarap Sachet,"Condiments, Sauces & Cooking Needs",8,5,Sachet,492,50,0,0,Regular sale
TXN-00024,7/1/2025,17:25,P014,Piattos Cheese 40g,"Snacks, Biscuits & Sweets",12,18,Pack,508,60,0,0,Regular sale
TXN-00025,7/1/2025,17:25,P045,Colgate Sachet,Personal Care,1,7,Sachet,329,35,0,0,Regular sale
TXN-00026,7/1/2025,17:50,P003,Milo Sachet 24g,Coffee & Breakfast Items,8,12,Sachet,382,45,0,0,Regular sale
TXN-00027,7/1/2025,18:00,P012,Argentina Corned Beef 150g,"Noodles, Pasta & Canned Goods",7,39,Can,253,30,0,0,Regular sale
TXN-00028,7/1/2025,18:15,P011,555 Tuna Afritada 155g,"Noodles, Pasta & Canned Goods",4,32,Can,236,25,0,0,Regular sale
TXN-00029,7/1/2025,18:20,P019,Oishi Prawn Crackers,"Snacks, Biscuits & Sweets",5,8,Pack,415,45,0,0,Regular sale
TXN-00030,7/1/2025,18:50,P028,Tang Orange Sachet,Drinks & Powdered Beverages,2,20,Sachet,258,30,0,0,Regular sale
TXN-00031,7/1/2025,18:55,P029,Rice per Kilo,Rice & Staples,4,48,Kilo,776,80,0,0,Regular sale
TXN-00032,7/1/2025,19:10,P017,SkyFlakes Crackers,"Snacks, Biscuits & Sweets",5,9,Pack,345,40,0,0,Regular sale
TXN-00033,7/1/2025,19:35,P001,Kopiko Blanca Sachet,Coffee & Breakfast Items,7,13,Sachet,513,55,0,0,Regular sale
TXN-00034,7/1/2025,19:40,P008,Lucky Me Beef Noodles,"Noodles, Pasta & Canned Goods",10,11,Pack,510,55,0,0,Regular sale
TXN-00035,7/1/2025,19:55,P033,Silver Swan Soy Sauce,"Condiments, Sauces & Cooking Needs",4,23,Bottle,256,30,0,0,Regular sale
TXN-00036,7/1/2025,20:10,P026,C2 Green Tea 355ml,Drinks & Powdered Beverages,1,20,Bottle,299,35,0,0,Regular sale
TXN-00037,7/2/2025,9:00,P034,Datu Puti Vinegar 350ml,"Condiments, Sauces & Cooking Needs",1,18,Bottle,239,25,0,0,Regular sale
TXN-00038,7/2/2025,9:10,P015,Nova Multigrain Snack 40g,"Snacks, Biscuits & Sweets",1,18,Pack,389,45,0,0,Regular sale
TXN-00039,7/2/2025,9:20,P044,Safeguard Soap 60g,Personal Care,4,28,Piece,309,35,0,0,Regular sale
TXN-00040,7/2/2025,9:50,P026,C2 Green Tea 355ml,Drinks & Powdered Beverages,5,20,Bottle,294,35,0,0,Regular sale
TXN-00041,7/2/2025,10:20,P019,Oishi Prawn Crackers,"Snacks, Biscuits & Sweets",1,8,Pack,414,45,0,0,Regular sale
TXN-00042,7/2/2025,10:35,P008,Lucky Me Beef Noodles,"Noodles, Pasta & Canned Goods",5,11,Pack,505,55,0,0,Regular sale
TXN-00043,7/2/2025,11:25,P003,Milo Sachet 24g,Coffee & Breakfast Items,10,12,Sachet,372,45,0,0,Regular sale
TXN-00044,7/2/2025,11:25,P041,Surf Detergent Sachet,Laundry & Cleaning,2,7,Sachet,495,55,0,0,Regular sale
TXN-00045,7/2/2025,11:45,P047,Mobile Load 50,Mobile Load & Digital Services,8,50,Load,999,120,0,0,Regular sale
TXN-00046,7/2/2025,11:50,P018,Fudgee Barr Chocolate,"Snacks, Biscuits & Sweets",1,10,Piece,387,45,0,0,Regular sale
TXN-00047,7/2/2025,11:55,P014,Piattos Cheese 40g,"Snacks, Biscuits & Sweets",4,18,Pack,504,60,0,0,Regular sale
TXN-00048,7/2/2025,12:05,P024,Sprite 1.5L,Drinks & Powdered Beverages,1,75,Bottle,249,30,0,0,Regular sale
TXN-00049,7/2/2025,12:25,P001,Kopiko Blanca Sachet,Coffee & Breakfast Items,9,13,Sachet,504,55,0,0,Regular sale
TXN-00050,7/2/2025,12:25,P037,Egg Medium,"Eggs, Chilled & Frozen Items",8,9,Piece,754,90,0,0,Regular sale
TXN-00051,7/2/2025,12:45,P035,Magic Sarap Sachet,"Condiments, Sauces & Cooking Needs",6,5,Sachet,486,50,0,0,Regular sale
TXN-00052,7/2/2025,12:55,P030,Brown Sugar 1/2 Kilo,Rice & Staples,4,36,Pack,302,35,0,0,Regular sale
TXN-00053,7/2/2025,13:35,P010,Century Tuna 180g,"Noodles, Pasta & Canned Goods",4,43,Can,250,30,0,0,Regular sale
TXN-00054,7/2/2025,13:55,P025,Royal Tru-Orange 1.5L,Drinks & Powdered Beverages,4,75,Bottle,226,25,0,0,Regular sale
TXN-00055,7/2/2025,14:05,P005,Great Taste White Sachet,Coffee & Breakfast Items,10,12,Sachet,443,50,0,0,Regular sale
TXN-00056,7/2/2025,15:25,P016,Cloud 9 Classic,"Snacks, Biscuits & Sweets",4,10,Piece,423,50,0,0,Regular sale
TXN-00057,7/2/2025,15:30,P013,UFC Spaghetti Sauce 250g,"Noodles, Pasta & Canned Goods",7,28,Pack,213,25,0,0,Regular sale
TXN-00058,7/2/2025,15:35,P011,555 Tuna Afritada 155g,"Noodles, Pasta & Canned Goods",2,32,Can,234,25,0,0,Regular sale
TXN-00059,7/2/2025,15:40,P050,Ballpen Black,School & Office Supplies,3,10,Piece,217,25,0,0,Regular sale
